internship_id,title,organization,sector_tags,description,responsibilities,required_qualifications,preferred_skills,stipend,location_city,location_district,location_state,location_pincode,remote_allowed,duration_weeks,start_date,application_deadline,eligibility_min_qualification,url,posted_date,source,one_line_summary
INT2010,Technology Intern - Equities trader,Dash-Banerjee,technology,"Eos vitae adipisci doloribus totam exercitationem. Distinctio error quo voluptatem.
Quia nobis est suscipit. Inventore exercitationem eligendi beatae nisi praesentium explicabo a.
Modi itaque quod repudiandae dolor. Dolore ea nostrum minima. Itaque in officia nam saepe molestiae dolorem et.",Sapiente ipsam dolor ratione ducimus reprehenderit ipsam.; Consectetur vel sint perspiciatis veniam fugiat nam laudantium.; Enim voluptates eveniet.; Repellendus asperiores laudantium rem accusantium deserunt fuga.; Vel quos voluptates quia perferendis.; Explicabo corporis deleniti.,pg,"react, javascript, sql, git",25000,Bhubaneswar,Ville,Odisha,389262,no,4,2025-10-11,2025-09-17,pg,http://date.info/,2025-08-24,partner,Fuga doloribus occaecati pariatur molestiae soluta eum.
INT2011,Technology Intern - Seismic interpreter,"Srinivasan, Dutt and Loke",technology,"Tenetur quos eius animi corrupti. Deleniti est recusandae. Sit et nesciunt ullam nesciunt consectetur explicabo.
Maiores nam repellendus error harum nesciunt. Inventore consequatur dicta officia.
Rem enim ipsam animi commodi suscipit. Dolor qui vero voluptatum quod molestias. Quam pariatur accusamus iusto similique itaque.",Quisquam corporis recusandae vel eveniet animi.; Adipisci ut provident.; Accusantium adipisci suscipit pariatur cupiditate.; Asperiores aspernatur laudantium exercitationem excepturi.; Iure placeat harum id reiciendis distinctio.; Incidunt debitis sit et iure est officia porro.,diploma,"node.js, python, javascript, sql",10000,Pune,Ville,Maharashtra,329587,yes,4,2025-11-27,2025-10-29,diploma,http://www.ratta.com/,2025-10-05,official,Eius eaque commodi sint omnis.
INT2012,Technology Intern - Merchant navy officer,Varghese-Dutt,technology,"Itaque ratione ipsum fugiat dolore alias maxime reiciendis. Voluptatem laboriosam ratione necessitatibus.
Veritatis est sed. Voluptatum corporis facere facere ipsa alias.
Quia cupiditate tenetur autem fugiat ullam. Quos dignissimos iure neque aperiam nam voluptas. Nulla modi at illum eaque ea.",Molestias laboriosam hic deserunt molestiae illum.; Dignissimos animi veritatis quod.; Nostrum ipsum asperiores.; Fugit pariatur voluptates nostrum.,12th,"django, react, sql, machine_learning",25000,Coimbatore,Ville,Tamil Nadu,850614,no,16,2025-10-13,2025-09-24,12th,http://saraf.com/,2025-08-25,partner,Laboriosam doloremque saepe libero.
INT2013,Technology Intern - Chief Financial Officer,Bhardwaj and Sons,technology,"Doloremque et vero porro atque sit neque. Asperiores dolorum labore quia eaque neque exercitationem. Cupiditate nam illo cumque iure.
Reiciendis dolores placeat doloribus quaerat. Enim accusantium explicabo architecto.
In autem saepe corporis inventore labore. Minima accusantium incidunt officia veniam laboriosam. Incidunt laudantium possimus rem.",Cum doloribus eum veniam temporibus molestias et.; Maxime quasi amet officia occaecati.; Voluptas omnis nobis ad vero architecto.; Maiores commodi voluptas laudantium pariatur rem quaerat.; Tenetur fuga distinctio provident veritatis.,pg,"node.js, javascript, django, react",0,Pune,Ville,Maharashtra,350171,no,8,2025-12-04,2025-11-13,pg,http://www.dyal.net/,2025-10-24,partner,Illum ad reprehenderit minus.
INT2014,Technology Intern - Forensic psychologist,"Goyal, Varughese and Andra",technology,"Velit recusandae repellat. Mollitia porro soluta quibusdam earum a cupiditate.
Dolor dicta fuga. Id quis quidem consectetur saepe fuga neque minus.
Voluptatem totam harum exercitationem accusamus similique quam. Dolorum ullam suscipit quisquam. Ratione soluta libero fugiat.
Ut illo repudiandae commodi ipsa. In nisi in odit quo repudiandae.",Sit quod officia.; Nam ad doloribus labore.; Aliquid accusantium doloribus maxime saepe officiis.; Ullam corrupti dolorem.; Enim pariatur doloremque.,diploma,"sql, python, git, machine_learning",25000,Ahmedabad,Ville,Gujarat,998566,yes,12,2025-09-26,2025-08-27,diploma,https://www.reddy.com/,2025-08-20,official,Totam amet aperiam.
INT2015,"Technology Intern - Therapist, music",Joshi-Goda,technology,"Iusto incidunt nihil cum autem cum. Eius suscipit atque vel placeat.
Corporis quos exercitationem earum. Corrupti omnis consequuntur quos velit debitis. Aut saepe rem.
Quod optio minus.
Tenetur corporis pariatur repellat.
Magnam animi eveniet magni quo quasi.",Eum asperiores praesentium dolorem.; Aspernatur ducimus quisquam ratione neque laudantium beatae mollitia.; Quisquam aut pariatur assumenda magnam.; Officia expedita ratione consectetur.; Pariatur pariatur quam praesentium necessitatibus soluta iste corporis.,ug,"node.js, sql, javascript, machine_learning",2000,New Delhi,Ville,Delhi,655621,no,20,2025-10-19,2025-10-05,ug,https://www.korpal.org/,2025-09-18,partner,Non odio maxime sed.
INT2016,Technology Intern - International aid/development worker,"Bakshi, Guha and Sinha",technology,"Debitis deleniti quas sunt. Quam minima quo pariatur odit natus adipisci.
Qui molestiae excepturi soluta quos eos nulla. Accusantium facilis esse voluptates. Aliquam ullam nisi tempora incidunt ipsam.",Saepe doloremque totam a.; Ipsa autem ea consequatur autem ad.; Magni quasi architecto neque quas eius.; Quasi error ab odio asperiores.; Rem officia itaque eum iure reiciendis.,12th,"machine_learning, git, node.js, django",20000,Pune,Ville,Maharashtra,409773,no,20,2025-11-21,2025-10-27,12th,https://www.bose-kari.com/,2025-10-08,partner,Nisi molestias sed consequuntur eius excepturi quibusdam.
INT2017,Technology Intern - Charity fundraiser,"Bajwa, Chaudhry and Dash",technology,"Possimus quos repellendus tempore error ex. Minus expedita fuga. Ea minus eos cum omnis.
Neque dicta quaerat dolorum modi sequi sunt. Iure ex debitis porro iure.
Voluptate natus debitis eius velit tempora. Quasi neque perspiciatis itaque ducimus.
Sit dolorum accusantium. Dicta modi dolore officia. Exercitationem ab quas quis sequi iusto cum.",Sequi sit atque nobis.; Optio voluptatum facere id nemo odit.; Accusamus optio magnam.; Dolorem animi unde.; Ipsam quibusdam soluta suscipit facere hic repellat.; Dolore fugit aperiam dolorem nostrum natus id.,pg,"git, javascript, machine_learning, sql",2000,Pune,Ville,Maharashtra,677652,yes,20,2025-11-19,2025-10-20,pg,https://www.krishnamurthy.info/,2025-10-02,partner,Expedita harum suscipit minima illum possimus totam sint.
INT2018,"Technology Intern - Teacher, early years/pre","Thakur, Dhawan and Bains",technology,"Molestias quas alias earum. Unde expedita sit eius laudantium possimus ad mollitia. Autem sed tempore delectus est ipsam.
Fugit doloremque eveniet voluptatibus veritatis harum.
Dolore soluta labore facere. Sint esse possimus iste dolorum.
Incidunt assumenda quasi temporibus. Iste accusamus nemo consequatur mollitia.",Eaque debitis sit quos unde rerum.; Recusandae tenetur autem reiciendis.; Soluta soluta deleniti eos ex aperiam.; Ipsum assumenda aut sequi in molestiae consequuntur adipisci.; Ut odit quod deleniti officia animi.; Est veniam itaque adipisci.,diploma,"machine_learning, javascript, react, django",2000,New Delhi,Ville,Delhi,655653,yes,20,2025-09-21,2025-08-25,diploma,https://bains-sama.com/,2025-07-29,scraped,Hic enim culpa earum labore sint.
INT2019,Technology Intern - Office manager,"Lal, Bedi and Ratta",technology,"Repellendus iste aliquid tempora. Quam dignissimos totam doloribus unde. Maiores earum sed ab hic. Natus quia quo nam sequi.
Necessitatibus sed sequi perspiciatis alias dolorum. Quidem et dolores.
Veniam corrupti nulla nisi officiis at quo. Ipsa similique dolore esse voluptatem. Saepe minima id asperiores.",Saepe consectetur voluptate sequi delectus velit repudiandae.; Atque temporibus ducimus temporibus ducimus.; Repudiandae molestiae consequatur consectetur dolor.; Dolorum a quaerat sapiente.; Non iste quibusdam modi delectus totam.; Perspiciatis laboriosam aliquid tenetur ex eius quasi itaque.,pg,"react, machine_learning, javascript, node.js",0,Mumbai,Ville,Maharashtra,575729,no,24,2025-09-22,2025-09-03,pg,http://www.chandra.com/,2025-08-25,scraped,Aspernatur minus adipisci repudiandae ut commodi praesentium.
INT2020,"Technology Intern - Teacher, English as a foreign language",Chhabra-Master,technology,"Expedita temporibus reiciendis quaerat harum saepe. Doloribus animi explicabo repudiandae facere eligendi. Vero harum nemo doloremque saepe quae.
Ab hic praesentium quae porro voluptates dolor. Optio architecto exercitationem beatae deserunt. Animi eligendi recusandae incidunt.",Dolorem corporis unde in.; Voluptas dolor consequuntur blanditiis recusandae delectus.; Iusto placeat veniam corrupti.; Perferendis dolor itaque quas suscipit nam consectetur soluta.; Velit fugiat provident possimus nulla in.,pg,"python, machine_learning, django, git",5000,New Delhi,Ville,Delhi,628490,yes,12,2025-10-25,2025-10-04,pg,https://varghese.net/,2025-09-08,partner,Similique nisi dolores repellendus.
INT2021,Technology Intern - Visual merchandiser,"Andra, Mane and Zacharia",technology,"Dolorem repellat dolorum aliquam sapiente quod.
Cupiditate cupiditate voluptatem commodi dolor ullam. Excepturi dolore a quia itaque. Fugit eos ad fuga enim consectetur deserunt impedit.
Maxime blanditiis facere eius eaque. Accusantium culpa consectetur iure laborum. Molestias iste optio deserunt tenetur beatae.",Ipsam inventore et.; Deserunt deserunt accusantium nostrum.; Hic repellendus et officia dolor voluptas distinctio.; Nemo architecto totam doloremque facere placeat a.; Mollitia ad minima rerum ea.; Veniam doloremque magnam officiis.,ug,"python, react, git, sql",10000,Mumbai,Ville,Maharashtra,403808,no,4,2025-12-02,2025-11-06,ug,https://gill.biz/,2025-10-21,partner,Repellat molestias maxime officia.
INT2022,Technology Intern - Dance movement psychotherapist,"Chand, Lalla and Vasa",technology,"Aut ad fugit eaque. Porro ullam eaque. Et inventore dolore atque.
Ut enim tempora.
Atque minus exercitationem distinctio beatae reiciendis reiciendis. Reiciendis ipsum quisquam maiores aliquam dolorem voluptatem. Iste perferendis nam expedita nam harum odit.
Ipsum nobis iste sapiente. Inventore vel quam illo dignissimos.",Laudantium aspernatur molestiae laborum provident blanditiis earum.; Molestias consectetur facere non dolores.; Iste exercitationem vel nostrum.; Magni velit amet soluta labore consectetur ea.; Officia error cumque occaecati possimus ipsam.,12th,"javascript, python, sql, node.js",5000,Kolkata,Ville,West Bengal,823049,yes,20,2025-11-20,2025-11-03,12th,https://www.iyengar.com/,2025-10-23,partner,Doloribus facilis quidem laudantium voluptatem.
INT2023,Technology Intern - Patent examiner,Bhattacharyya-Chakrabarti,technology,"Corporis suscipit corrupti enim laudantium accusamus. Quos quibusdam deleniti ducimus et. Perferendis minus cumque suscipit.
Natus suscipit laboriosam. Non enim fuga. Consectetur esse pariatur assumenda voluptates eaque unde.",Neque dolorum ipsum illo.; Similique quos impedit sequi ipsam excepturi.; Rem occaecati quae earum iste velit possimus.; Tempore sunt enim voluptatibus illum explicabo magni.,pg,"machine_learning, django, node.js, git",10000,Coimbatore,Ville,Tamil Nadu,065117,yes,16,2025-11-28,2025-11-07,pg,https://www.singhal-sha.biz/,2025-10-21,partner,Consequatur harum exercitationem voluptates illo.
INT2024,Technology Intern - Aeronautical engineer,Mander LLC,technology,"Ipsa a incidunt laudantium aspernatur repudiandae eos omnis. Sapiente ipsa minima accusantium possimus occaecati. Repellendus asperiores doloribus nostrum quaerat voluptas.
Sapiente ab esse earum. Ut iure eius hic blanditiis. Quidem provident minima nisi iste.",Est nam reiciendis nam odio neque.; Saepe atque magnam occaecati.; Hic est ex nam.; Ut quas facere illo ut.,12th,"git, machine_learning, javascript, django",0,Pune,Ville,Maharashtra,825405,no,8,2025-11-25,2025-11-09,12th,http://goda.com/,2025-10-19,partner,Dicta porro fugit excepturi fugiat nobis numquam.
INT2025,Technology Intern - Clinical embryologist,Chaudhuri-Sarma,technology,"Rem nobis esse id corporis consectetur nulla. Ab debitis quam sapiente optio. Eaque porro itaque omnis voluptatem omnis minima maiores.
Ad sequi nisi ipsa praesentium nemo numquam. Possimus saepe eligendi doloremque corporis voluptatum eos. Mollitia quas quia qui.",Et corrupti sed dolorem accusamus ipsa cumque earum.; Incidunt delectus possimus dolor ullam earum cum.; Aperiam itaque modi perferendis.; Dicta repellat quis eius.; Rem laudantium sint commodi enim.,pg,"django, javascript, git, sql",25000,Guwahati,Ville,Assam,991936,no,12,2025-11-28,2025-11-03,pg,https://www.loke.biz/,2025-10-08,scraped,Veniam molestias cum.
INT2026,Technology Intern - Police officer,"Raju, Vala and Sama",technology,"Pariatur et sunt libero asperiores. Ratione corporis quia in quia esse eaque. Tenetur quae ex optio cupiditate. Architecto neque tempora nisi ut omnis.
Corrupti deserunt aperiam temporibus delectus illo sit sint. Facere asperiores consequuntur incidunt quibusdam corrupti optio. Eaque dolor placeat magni blanditiis.",Ipsa temporibus molestiae quis ipsam dolore aliquid.; Totam ipsa est delectus nobis.; Perferendis tempora libero deserunt.; Vero ullam et beatae.; Tempore dolor cumque tempore porro perferendis iste.,diploma,"sql, react, machine_learning, python",10000,Jaipur,Ville,Rajasthan,755618,yes,4,2025-09-20,2025-09-06,diploma,https://www.johal.net/,2025-08-07,official,Possimus aliquid reiciendis vero.
INT2027,Technology Intern - Cabin crew,Salvi and Sons,technology,"Labore dicta corporis. Aut voluptas porro officia. Doloremque laudantium possimus. Sequi voluptas iste ab.
Ut necessitatibus nam excepturi distinctio aut unde. Asperiores dolorum eligendi.
Voluptatum voluptatum magnam optio ea nisi nam. Cum laborum est quam iusto soluta sint voluptatem.",Doloribus quod a aspernatur.; Hic eius harum ipsa.; Id magni eius quo esse temporibus.; Quaerat quos modi ea porro.; Aut eius perspiciatis quibusdam necessitatibus.; Magnam vitae repellendus libero error consectetur.,diploma,"python, react, sql, node.js",20000,Ahmedabad,Ville,Gujarat,582269,no,8,2025-11-05,2025-10-16,diploma,http://srinivasan-dhar.com/,2025-10-02,partner,Repellat nisi aliquam hic tempore provident illo.
INT2028,Technology Intern - Administrator,Ratta Ltd,technology,"Laboriosam dolor ipsum labore illum nulla cumque. Velit ullam laboriosam deleniti labore eos doloribus.
Dicta sed doloremque ipsa.
Deserunt eveniet iusto sapiente illum explicabo repellat. Quibusdam suscipit fuga possimus alias. Temporibus dolores odit debitis.
Ea aliquam soluta beatae quasi quos. Repellendus dignissimos unde architecto sapiente.",Delectus dolorum repellendus sed neque repellendus quaerat.; Corporis veniam aliquam consequuntur numquam.; Corrupti itaque voluptas iusto vitae impedit ad.; Laudantium ea sit delectus.,ug,"sql, node.js, react, machine_learning",10000,Guwahati,Ville,Assam,422996,yes,12,2025-12-04,2025-11-11,ug,http://www.bhatnagar.biz/,2025-11-02,partner,Cum accusamus iusto.
INT2029,Technology Intern - Armed forces technical officer,"Sem, Chaudhuri and Dara",technology,"Minima dolore nemo similique eligendi distinctio doloribus. Numquam dignissimos occaecati eum possimus rem. Recusandae numquam deleniti culpa.
Dolores non in quos saepe quis laudantium. Quidem pariatur voluptatum vero animi cum minus.
Veniam numquam tempora at aperiam non accusamus. Culpa et itaque at harum.",Cupiditate dolores iure aperiam.; Optio quis earum distinctio iste omnis quaerat pariatur.; Architecto error vero quaerat aspernatur non nemo.; Quod quo atque explicabo saepe.,12th,"node.js, python, javascript, git",25000,Chandigarh,Ville,Punjab,992400,yes,4,2025-11-18,2025-10-31,12th,https://bhagat.com/,2025-10-17,partner,Deleniti placeat sunt doloremque.
INT2030,Technology Intern - Maintenance engineer,Bawa-Andra,technology,"Qui atque sit quis. Quaerat adipisci sint error commodi odio omnis. Voluptate officia libero iste.
Quasi accusamus repellendus impedit quisquam nihil dolore. Blanditiis voluptatibus eum velit beatae.
Illo incidunt quidem quasi assumenda suscipit accusamus.
Voluptates dolorem voluptatibus dignissimos quam officia.",Debitis in fuga nam accusamus et.; Laboriosam facilis similique nulla amet culpa voluptates.; Animi praesentium culpa illo.; Architecto perferendis suscipit illo ipsa neque minima.; Vel doloribus dolores quibusdam excepturi eaque inventore dolores.,12th,"django, javascript, react, node.js",25000,New Delhi,Ville,Delhi,150460,yes,20,2025-11-16,2025-10-27,12th,https://kala.com/,2025-10-09,scraped,Minus illo suscipit amet labore.
INT2031,Technology Intern - Immunologist,Bajaj-Agarwal,technology,"Ad perferendis eveniet labore reprehenderit maiores. Dolore molestias recusandae nobis voluptates provident ea. Temporibus corrupti in ipsam cum et omnis.
Rerum maxime ipsam nemo provident sapiente dolores maxime. Eveniet placeat quis quae vel velit. Quaerat fuga reprehenderit illum tenetur voluptate consectetur. Illum soluta facere natus ea.",Explicabo asperiores nulla nostrum error at laboriosam.; Consectetur cum assumenda aspernatur ad rem.; Voluptates quia nemo.; Culpa minus libero cum aliquid ea.; Pariatur labore nisi quis.,12th,"node.js, django, sql, python",25000,Jaipur,Ville,Rajasthan,592910,yes,24,2025-10-06,2025-09-11,12th,https://wagle.com/,2025-09-03,scraped,Adipisci et dolor corporis ratione.
INT2032,Technology Intern - Primary school teacher,Borah Inc,technology,"Velit tempora rerum nobis occaecati tenetur perspiciatis animi. Facere laudantium numquam nostrum voluptatibus necessitatibus. Eos labore laudantium facere ducimus facere.
Autem voluptates harum dolores blanditiis. Similique consequuntur minus nulla nemo assumenda quis.",Dignissimos eveniet nam quas.; Iure dicta nihil dolores enim et.; Voluptates beatae odio inventore doloribus aut odio fugit.; Neque sed iure corporis eveniet expedita illo.,diploma,"sql, machine_learning, react, javascript",2000,Coimbatore,Ville,Tamil Nadu,973608,yes,20,2025-10-01,2025-09-05,diploma,https://dave.com/,2025-08-11,scraped,Nihil doloribus amet exercitationem.
INT2033,Technology Intern - Financial manager,"Bali, Batta and Cheema",technology,"Quisquam labore pariatur. Praesentium culpa fuga recusandae atque autem.
Aliquid fugit minima aut eaque voluptate tenetur. Vero magnam deserunt quidem tempora aliquam enim. Mollitia ipsum accusantium ad eaque quidem dolor nulla. Voluptatibus nobis nesciunt vitae numquam dolore temporibus numquam.",Eum sequi facere dolorem magnam sint.; Culpa tempora totam soluta.; Commodi accusamus vitae culpa aut.; Tenetur inventore doloremque.; Eos possimus incidunt dignissimos id vitae.,ug,"django, machine_learning, python, javascript",15000,Coimbatore,Ville,Tamil Nadu,560321,no,24,2025-10-24,2025-09-28,ug,https://subramanian.com/,2025-09-16,official,Voluptas veritatis dicta harum.
INT2034,Technology Intern - Archaeologist,"Shetty, Verma and Tak",technology,"Sequi aliquam odio.
Est et commodi quas rerum cupiditate quidem. Libero impedit illum suscipit harum minima voluptate. Labore ab perspiciatis repellendus tempore consequuntur ducimus.
Sed laudantium impedit illo facilis autem. Cumque nisi aliquam rem quas.
Quam dolores ratione odit doloremque numquam illo. Nesciunt mollitia ad quos.",Alias facilis cupiditate assumenda soluta quibusdam.; Reiciendis enim nostrum nesciunt recusandae magni.; Mollitia facilis temporibus reiciendis molestias laborum labore sint.; Sint harum aperiam sequi harum sequi.,diploma,"sql, react, machine_learning, node.js",0,New Delhi,Ville,Delhi,127643,no,4,2025-10-24,2025-09-26,diploma,http://www.biswas-jaggi.com/,2025-09-07,official,Veritatis perspiciatis eaque quas.
INT2035,"Technology Intern - Lecturer, further education",Sagar-Desai,technology,"Dignissimos quis corporis nulla odio explicabo natus. Doloremque laudantium perferendis voluptatem beatae.
Quaerat perferendis ad aliquid.
Vel sequi velit iure omnis optio reprehenderit. Sequi doloribus enim officia est adipisci non ea.
Omnis suscipit ipsam dignissimos.",Maxime laudantium voluptatum quae qui eveniet dolores.; Odit error mollitia aut neque.; Quia labore ex eligendi inventore soluta dolorum.; Earum deserunt sapiente voluptatibus aut incidunt animi.,pg,"django, git, sql, machine_learning",25000,Guwahati,Ville,Assam,408946,yes,12,2025-11-01,2025-10-05,pg,http://www.kala-bhatti.org/,2025-09-20,partner,Magni ipsam excepturi aut quis.
